Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
12/01/2021,Manhattan,M06,5251,4401
12/01/2021,Manhattan,M07,17484,12948
12/01/2021,Manhattan,M08,6301,4916
12/01/2021,Manhattan,M09,22714,15033
12/01/2021,Manhattan,M10,31138,20312
12/01/2021,Manhattan,M11,43535,27496
12/01/2021,Manhattan,M12,47122,32586
12/01/2021,Bronx,B01,45322,25230
12/01/2021,Bronx,B02,22313,12601
12/01/2021,Bronx,B03,42991,24243
12/01/2021,Bronx,B04,56534,32465
12/01/2021,Bronx,B05,54623,31076
12/01/2021,Bronx,B06,40094,22138
12/01/2021,Bronx,B07,47712,27852
12/01/2021,Bronx,B08,18324,11148
12/01/2021,Bronx,B09,56309,31526
12/01/2021,Bronx,B10,20547,12541
12/01/2021,Bronx,B11,26169,15450
12/01/2021,Bronx,B12,40799,22731
12/01/2021,Brooklyn,K01,50412,20873
12/01/2021,Brooklyn,K02,14129,9688
12/01/2021,Brooklyn,K03,44052,24659
12/01/2021,Brooklyn,K04,24139,15543
12/01/2021,Brooklyn,K05,64357,37847
12/01/2021,Brooklyn,K06,11323,7493
12/01/2021,Brooklyn,K07,21617,13483
12/01/2021,Brooklyn,K08,19624,13116
12/01/2021,Brooklyn,K09,20934,13124
12/01/2021,Brooklyn,K10,18421,11157
12/01/2021,Brooklyn,K11,36864,22144
12/01/2021,Brooklyn,K12,60169,20236
12/01/2021,Brooklyn,K13,31716,21227
12/01/2021,Brooklyn,K14,30916,18579
12/01/2021,Brooklyn,K15,27949,17627
12/01/2021,Brooklyn,K16,37639,22048
12/01/2021,Brooklyn,K17,31875,20881
12/01/2021,Brooklyn,K18,29634,18431
12/01/2021,Queens,Q01,24203,14958
12/01/2021,Queens,Q02,11571,7402
12/01/2021,Queens,Q03,24456,14458
12/01/2021,Queens,Q04,26926,15957
12/01/2021,Queens,Q05,19639,11825
12/01/2021,Queens,Q06,10875,7504
12/01/2021,Queens,Q07,29779,19689
12/01/2021,Queens,Q08,19254,11604
12/01/2021,Queens,Q09,23925,14079
12/01/2021,Queens,Q10,17327,10626
12/01/2021,Queens,Q11,8129,5366
12/01/2021,Queens,Q12,45287,27573
12/01/2021,Queens,Q13,21898,14001
12/01/2021,Queens,Q14,29613,16367
12/01/2021,Staten Island,S01,38647,20860
12/01/2021,Staten Island,S02,16085,9416
12/01/2021,Staten Island,S03,11566,7256
03/01/2022,Manhattan,M01,2042,1580
03/01/2022,Manhattan,M02,2998,2431
03/01/2022,Manhattan,M03,38547,26400
03/01/2022,Manhattan,M04,13219,10119
03/01/2022,Manhattan,M05,4538,3681
03/01/2022,Manhattan,M06,5457,4554
03/01/2022,Manhattan,M07,17892,13195
03/01/2022,Manhattan,M08,6525,5052
03/01/2022,Manhattan,M09,23346,15459
03/01/2022,Manhattan,M10,32042,20955
03/01/2022,Manhattan,M11,44589,28101
03/01/2022,Manhattan,M12,48689,33547
03/01/2022,Bronx,B01,46965,26195
03/01/2022,Bronx,B02,23261,13116
03/01/2022,Bronx,B03,44549,25041
03/01/2022,Bronx,B04,58323,33497
03/01/2022,Bronx,B05,56438,32088
03/01/2022,Bronx,B06,41318,22819
03/01/2022,Bronx,B07,49475,28878
03/01/2022,Bronx,B08,19012,11550
03/01/2022,Bronx,B09,58194,32513
03/01/2022,Bronx,B10,21170,12909
03/01/2022,Bronx,B11,27388,16068
03/01/2022,Bronx,B12,42168,23527
03/01/2022,Brooklyn,K01,52622,21765
03/01/2022,Brooklyn,K02,14518,10038
03/01/2022,Brooklyn,K03,45983,25747
03/01/2022,Brooklyn,K04,24917,16121
03/01/2022,Brooklyn,K05,67051,39450
03/01/2022,Brooklyn,K06,11498,7633
03/01/2022,Brooklyn,K07,22667,14172
03/01/2022,Brooklyn,K08,20513,13787
03/01/2022,Brooklyn,K09,21999,13828
03/01/2022,Brooklyn,K10,19358,11686
03/01/2022,Brooklyn,K11,38723,23043
03/01/2022,Brooklyn,K12,64109,21322
03/01/2022,Brooklyn,K13,32491,21815
03/01/2022,Brooklyn,K14,32250,19307
03/01/2022,Brooklyn,K15,29282,18318
03/01/2022,Brooklyn,K16,38784,22903
